영화 대표코드,영화명(국문),영화명(영문),영화명(원문),관람등급,장르
20196309,스파이더맨: 파 프롬 홈,Spider-Man: Far From Home,,12세이상관람가,액션
20183867,알라딘,Aladdin,,전체관람가,어드벤처
20184047,토이 스토리 4,Toy Story 4,,전체관람가,애니메이션
20185353,기방도령,HOMME FATALE,,15세이상관람가,코미디
20183782,기생충,PARASITE,,15세이상관람가,드라마
20185986,진범,The Culprit,,15세이상관람가,스릴러
20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,Butt Detective The Movie,劇場版おしりたんてい：カレーなる事件,전체관람가,애니메이션
20199951,애나벨 집으로,Annabelle Comes Home,,15세이상관람가,공포(호러)
20196655,존 윅 3: 파라벨룸,John Wick: Chapter 3 - parabellum,,청소년관람불가,액션
20192151,미드소마,Midsommar,,청소년관람불가,공포(호러)
20198453,롱 리브 더 킹: 목포 영웅,Long Live the King,,15세이상관람가,액션
20190273,천로역정: 천국을 찾아서,The Pilgrim's Progress,,전체관람가,애니메이션
20182585,비스트,The Beast,,15세이상관람가,범죄
20192591,BIFAN2019 판타스틱 단편 걸작선 1,Fantastic Short Films 1,,,기타
20192022,마담 싸이코,Greta,,15세이상관람가,공포(호러)
20196657,맨 인 블랙: 인터내셔널,Men in Black: International,,12세이상관람가,액션
20190885,사탄의 인형,Child's Play,,청소년관람불가,공포(호러)
20182387,엑스맨: 다크 피닉스,X-MEN: DARK PHOENIX,,12세이상관람가,액션
20190466,세상을 바꾼 변호인,ON THE BASIS OF SEX,,12세이상관람가,드라마
19880001,이웃집 토토로,My Neighbor Totoro,となりの トトロ,전체관람가,애니메이션
20191401,업사이드,The Upside,,12세이상관람가,코미디
20198291,로켓맨,Rocketman,,15세이상관람가,드라마
20184889,어벤져스: 엔드게임,Avengers: Endgame,,12세이상관람가,액션
20188941,악인전,"The Gangster, The Cop, The Devil",,청소년관람불가,범죄
20184865,고질라: 킹 오브 몬스터,Godzilla: King of the Monsters,,12세이상관람가,액션
20199063,빅샤크2: 해저2만리,Happy Little Submarine : 20000 Leagues under the Sea,,전체관람가,애니메이션
20188144,0.0MHz,0.0MHz,,15세이상관람가,공포(호러)
20184082,걸캅스,Miss & Mrs. Cops,,15세이상관람가,코미디
20199448,어린 의뢰인,My First Client,,12세이상관람가,드라마
20198597,교회오빠,A Job Who Is near Us,,전체관람가,다큐멘터리
20199822,더 보이,Brightburn,,15세이상관람가,공포(호러)
20187981,배심원들,Juror 8,,12세이상관람가,드라마
20198598,명탐정 피카츄,Pokemon Detective Pikachu,,전체관람가,액션
20185784,나의 특별한 형제,Inseparable Bros,,12세이상관람가,드라마
20198183,뽀로로 극장판 보물섬 대모험,Treasure Island Adventure,,전체관람가,애니메이션
20185384,호텔 뭄바이,Hotel Mumbai,,15세이상관람가,스릴러
20197503,서스페리아,Suspiria,,청소년관람불가,공포(호러)
20197147,어글리 돌,UglyDolls,UGLYDOLLS,전체관람가,애니메이션
20169323,안도 타다오,Samurai Architect Tadao Ando,,전체관람가,다큐멘터리
20183096,생일,Birthday,,전체관람가,드라마
20181877,캡틴 마블,Captain Marvel,,12세이상관람가,액션
20060347,판의 미로 - 오필리아와 세 개의 열쇠,Pan's Labyrinth,El Laberinto Del Fauno,15세이상관람가,드라마
20199736,프렌즈: 둥지탈출,Manou the Swift,,전체관람가,애니메이션
20183454,요로나의 저주,The Curse of La Llorona,,15세이상관람가,공포(호러)
20180825,미성년,Another Child,,15세이상관람가,드라마
20198982,크게 될 놈,,,15세이상관람가,드라마
19990220,노팅 힐,Notting Hill,Notting Hill,12세관람가,멜로/로맨스
20176103,돈,Money,,15세이상관람가,범죄
20198104,바이스,VICE,,15세이상관람가,드라마
20185406,헬보이,Hellboy,,청소년관람불가,액션
20182501,왓칭,Watching,,15세이상관람가,공포(호러)
20198844,아이 엠 마더,Peppermint,,15세이상관람가,액션
20196244,샤잠!,SHAZAM!,,12세이상관람가,액션
20185352,어스,Us,,15세이상관람가,공포(호러)
20197423,공포의 묘지,Pet Sematary,,15세이상관람가,공포(호러)
20183773,장난스런 키스,Fall in Love at First Kiss,一吻定情,12세이상관람가,멜로/로맨스
20198403,파이브 피트,Five Feet Apart,,15세이상관람가,드라마
20196025,덤보,Dumbo,,전체관람가,가족
20197092,로망,Romang,,전체관람가,멜로/로맨스
20198146,콜레트,COLETTE,,15세이상관람가,드라마
20197846,악질경찰,Jo Pil-ho: The Dawning Rage,,청소년관람불가,범죄
20175407,우상,Idol,,15세이상관람가,스릴러
20166301,썬키스 패밀리,Sunkist Family,,15세이상관람가,가족
20197483,1919 유관순,1919 Yu-kwan-sun,,12세이상관람가,다큐멘터리
20197283,이스케이프 룸,The Escape Room,,15세이상관람가,액션
20197356,라스트 미션,The Mule,,15세이상관람가,드라마
20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,Fate/stay night [Heaven's Feel] II.lost butterfly,,15세이상관람가,애니메이션
20197617,정글북: 마법 원정대,Savva,,전체관람가,애니메이션
20184574,그린 북,Green Book,,12세이상관람가,드라마
20196601,항거:유관순 이야기,A Resistance,,12세이상관람가,드라마
20182530,극한직업,Extreme Job,,15세이상관람가,코미디
20185881,증인,Innocent Witness,,12세이상관람가,드라마
20177539,사바하,SVAHA : THE SIXTH FINGER,,15세이상관람가,미스터리
20196723,숲속왕국의 꿀벌 여왕,Tall Tales,,전체관람가,애니메이션
20180937,더 페이버릿: 여왕의 여자,THE FAVOURITE,,15세이상관람가,드라마
20177282,리노,Lino - Adventure of Seven Lives,Lino: Uma Aventura de Sete Vidas,전체관람가,애니메이션
20176442,자전차왕 엄복동,Race to Freedom : Um Bok Dong,,12세이상관람가,드라마
20195743,신데렐라:마법 반지의 비밀,Cinderella and The Secret Prince,,전체관람가,애니메이션
20195791,"어쩌다, 결혼",Trade Your Love,,12세이상관람가,멜로/로맨스
20186261,드래곤 길들이기 3,How to Train Your Dragon 3,How to Train Your Dragon: The Hidden World,전체관람가,애니메이션
20188282,알리타: 배틀 엔젤,Alita: Battle Angel,,12세이상관람가,액션
20195915,해피 데스데이 2 유,Happy Death Day 2 U,,15세이상관람가,공포(호러)
20020222,해리포터와 비밀의 방,Harry Potter And The Chamber Of Secrets,,전체관람가,드라마
20185576,콜드 체이싱,Cold Pursuit,,15세이상관람가,액션
20184888,메리 포핀스 리턴즈,Mary Poppins Returns,,전체관람가,판타지
20174169,기묘한 가족,THE ODD FAMILY : ZOMBIE ON SALE,,12세이상관람가,코미디
20180868,뺑반,Hit-and-Run Squad,,15세이상관람가,범죄
20162003,명탐정 코난:전율의 악보,Detective Conan: Full Score of Fear,,12세이상관람가,애니메이션
20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,Hello Carbot The Movie: The Secret of Omphalos Island,,전체관람가,애니메이션
20185444,레고 무비2,The Lego Movie 2: The Second Part,,전체관람가,애니메이션
20184105,말모이,MAL·MO·E: The Secret Mission,,12세이상관람가,드라마
20185124,러브 유어셀프 인 서울,LOVE YOURSELF IN SEOUL,,전체관람가,공연
20184896,가버나움,Capharnaum,Capernaum,15세이상관람가,드라마
20176251,내안의 그놈,The Dude in Me,,15세이상관람가,판타지
20189463,주먹왕 랄프 2: 인터넷 속으로,Ralph Breaks the Internet,,전체관람가,애니메이션
20182544,글래스,Glass,,15세이상관람가,드라마
20186324,언더독,Underdog,,전체관람가,애니메이션
20185485,보헤미안 랩소디,Bohemian Rhapsody,,12세이상관람가,드라마
20189385,몬스터 파크,Here Comes the Grump,,전체관람가,애니메이션
20180290,아쿠아맨,AQUAMAN,,12세이상관람가,액션
20183915,극장판 공룡메카드: 타이니소어의 섬,,,전체관람가,애니메이션
20182588,미래의 미라이,MIRAI,未来のミライ(,전체관람가,애니메이션
20186281,범블비,Bumblebee,,12세이상관람가,액션
20170658,PMC: 더 벙커,Take Point,,15세이상관람가,액션
20175547,스윙키즈,Swing Kids,,12세이상관람가,드라마
20183785,점박이 한반도의 공룡2 : 새로운 낙원,,,전체관람가,애니메이션
20184187,언니,No Mercy,,청소년관람불가,액션
20182421,그린치,The Grinch,,전체관람가,애니메이션
20168773,마약왕,The Drug King,,청소년관람불가,범죄
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion,,전체관람가,애니메이션
20183238,스파이더맨: 뉴 유니버스,Spider-Man: Into the Spider-Verse,,12세이상관람가,애니메이션
20177552,국가부도의 날,Default,,12세이상관람가,드라마
20179230,도어락,Door Lock,,15세이상관람가,스릴러
20183375,극장판 포켓몬스터 모두의 이야기,Pokemon the Movie: The Power of Us,劇場版ポケットモンスター みんなの物語,전체관람가,애니메이션
20189843,호두까기 인형과 4개의 왕국,The Nutcracker and the Four Realms,,전체관람가,판타지
20182082,부탁 하나만 들어줘,A Simple Favor,,청소년관람불가,스릴러
20178825,모털 엔진,Mortal Engines,,12세이상관람가,액션
20183745,런닝맨 : 풀룰루의 역습,Running Man,,전체관람가,애니메이션
20177538,완벽한 타인,Intimate Strangers,,15세이상관람가,드라마
20184481,성난황소,Unstoppable,,15세이상관람가,범죄
20181905,후드,Robin Hood,,12세이상관람가,어드벤처
20176814,신비한 동물들과 그린델왈드의 범죄,Fantastic Beasts: The Crimes of Grindelwald,FANTASTIC BEASTS THE CRIMES OF GRINDELWALD,12세이상관람가,판타지
20183073,베일리 어게인,A Dog's Purpose,,전체관람가,어드벤처
20181171,바울,"Paul, Apostle Of Christ",,15세이상관람가,드라마
20183007,거미줄에 걸린 소녀,THE GIRL IN THE SPIDER’S WEB,,15세이상관람가,액션
20182966,투 프렌즈,TWO TAILS,,전체관람가,애니메이션
20183050,번 더 스테이지: 더 무비,Burn the Stage: the Movie,,전체관람가,기타
20182935,출국,Unfinished,,15세이상관람가,드라마
20182669,툴리,TULLY,,15세이상관람가,드라마
20186822,너의 췌장을 먹고 싶어,I want to eat your pancreas,君の膵臓をたべたい,12세이상관람가,애니메이션
20170513,동네사람들,Ordinary People,,15세이상관람가,액션
20189869,해피 투게더,Happy Together,,12세이상관람가,드라마
20174981,창궐,Rampant,,15세이상관람가,사극
20010291,해리포터와 마법사의 돌,Harry Potter And The Socrerers Stone,,전체관람가,가족
20179006,여곡성,The Wrath,,15세이상관람가,공포(호러)
20181404,벽 속에 숨은 마법시계,The house with a clock in its walls,,전체관람가,판타지
20180523,스타 이즈 본,A Star Is Born,,15세이상관람가,드라마
20182693,구스범스: 몬스터의 역습,Goosebumps 2: Haunted Halloween,,12세이상관람가,판타지
20180987,할로윈,Halloween,,청소년관람불가,공포(호러)
20179189,암수살인,Dark Figure of Crime,暗數殺人,15세이상관람가,범죄
20189067,미쓰백,Miss Baek,,15세이상관람가,드라마
20182403,크레이지 리치 아시안,Crazy Rich Asians,,12세이상관람가,멜로/로맨스
20186321,퍼스트맨,First Man,,12세이상관람가,SF
20177221,베놈,Venom,,15세이상관람가,액션
20189123,곰돌이 푸 다시 만나 행복해,Christopher Robin,,전체관람가,어드벤처
20176122,안시성,The Great Battle,安市城,12세이상관람가,사극
20184678,배반의 장미,Too Hot to Die,,15세이상관람가,코미디
20187521,펭귄 하이웨이,Penguin Highway,ペンギン・ハイウェイ,전체관람가,애니메이션
20180628,액슬,A-X-L,,12세이상관람가,액션
20180770,다이노 어드벤처2: 육해공 공룡 대백과,Planet Dinosaur,,전체관람가,애니메이션
20189462,셜록 놈즈,Sherlock Gnomes,,전체관람가,애니메이션
20177308,협상,THE NEGOTIATION,,15세이상관람가,범죄
20188661,에브리데이,EVERY DAY,,12세이상관람가,멜로/로맨스
20172204,명당,FENGSHUI,,12세이상관람가,사극
20167903,원더풀 고스트,THE SOUL-MATE,,12세이상관람가,코미디
20189262,더 넌,The Nun,,15세이상관람가,공포(호러)
20185046,서치,Searching,,12세이상관람가,드라마
20188304,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,Yo-Kai Watch 4,映画　妖怪ウォッチ　シャドウサイド　鬼王の復活,전체관람가,애니메이션
20189268,루이스,Luis and the Aliens,,전체관람가,애니메이션
20180167,에그엔젤 코코밍: 두근두근 핼러윈 파티,,,전체관람가,애니메이션
20189746,극장판 뽀잉: 슈퍼 변신의 비밀,"Boing, The Secret of Super Transformation",,전체관람가,애니메이션
20156554,물괴,Monstrum,,15세이상관람가,액션
20153446,너의 결혼식,On Your Wedding Day,,12세이상관람가,멜로/로맨스
20188581,더 프레데터,The Predator,,청소년관람불가,SF
20189362,업그레이드,UPGRADE,,15세이상관람가,액션
20177537,상류사회,High Society,,청소년관람불가,드라마
20181942,맘마미아!2,MAMMA MIA! HERE WE GO AGAIN,,12세이상관람가,뮤지컬
20186202,신과함께-인과 연,Along with the Gods: The Last 49 Days,,12세이상관람가,판타지
20179101,공작,The Spy Gone North,,12세이상관람가,드라마
20170670,목격자,The Witness,,15세이상관람가,스릴러
20189261,어드리프트:우리가 함께한 바다,ADRIFT,,12세이상관람가,멜로/로맨스
20187647,나를 차버린 스파이,The Spy Who Dumped Me,,15세이상관람가,액션
20181181,미션 임파서블: 폴아웃,Mission:Impossible- Fallout,,15세이상관람가,액션
20139221,그래비티,Gravity,,12세이상관람가,SF
20184802,몬스터 호텔 3,Hotel Transylvania 3: A Monster Vacation,,전체관람가,애니메이션
20183584,메가로돈,The Meg,,12세이상관람가,액션
20187657,마일22,Mile22,Mile22,15세이상관람가,액션
20187641,극장판 도라에몽: 진구의 보물섬,Doraemon the Movie: Nobita's Treasure Island,,전체관람가,애니메이션
20187427,명탐정 코난 : 제로의 집행인,Detective Conan: Zero the Enforcer,名探偵コナン ゼロの執行人,12세이상관람가,애니메이션
20186501,극장판 헬로카봇 : 백악기 시대,Hello Carbot the Movie: The Cretaceous Period,,전체관람가,애니메이션
20183361,인크레더블 2,INCREDIBLES 2,,전체관람가,애니메이션
20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,The Haunted House: The Secret of the Cave,,전체관람가,애니메이션
20186121,어느 가족,SHOPLIFTERS,万引き家族,15세이상관람가,드라마
20170942,인랑,ILLANG : THE WOLF BRIGADE,人狼,15세이상관람가,SF
20180522,앤트맨과 와스프,Ant-Man and the Wasp,,12세이상관람가,액션
20185341,마녀,The Witch : Part 1. The Subversion,,15세이상관람가,미스터리
